"Plot Title: BS-T3"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10451242, SEN S/N: 10451242)","Coupler Attached (LGR S/N: 10451242, SEN S/N: 10451242)","Coupler Detached (LGR S/N: 10451242, SEN S/N: 10451242)","Stopped (LGR S/N: 10451242, SEN S/N: 10451242)","End Of File (LGR S/N: 10451242, SEN S/N: 10451242)"
1,02/19/15 10:26:11 PM,1.330,,,,
2,02/19/15 10:27:11 PM,1.003,,,,
3,02/19/15 10:28:11 PM,0.674,,,,
4,02/19/15 10:29:11 PM,0.453,,,,
5,02/19/15 10:30:11 PM,0.232,,,,
6,02/19/15 10:31:11 PM,0.010,,,,
7,02/19/15 10:32:11 PM,-0.102,,,,
8,02/19/15 10:33:11 PM,-0.213,,,,
9,02/19/15 10:34:11 PM,-0.213,,,,
10,02/19/15 10:35:11 PM,-0.325,,,,
11,02/19/15 10:36:11 PM,-0.325,,,,
12,02/19/15 10:37:11 PM,-0.325,,,,
13,02/19/15 10:38:11 PM,-0.437,,,,
14,02/19/15 10:39:11 PM,-0.437,,,,
15,02/19/15 10:40:11 PM,-0.325,,,,
16,02/19/15 10:41:11 PM,-0.325,,,,
17,02/19/15 10:42:11 PM,-0.437,,,,
18,02/19/15 10:43:11 PM,-0.325,,,,
19,02/19/15 10:44:11 PM,-0.437,,,,
20,02/19/15 10:45:11 PM,-0.437,,,,
21,02/19/15 10:46:11 PM,-0.437,,,,
22,02/19/15 10:47:11 PM,-0.325,,,,
23,02/19/15 10:48:11 PM,-0.325,,,,
24,02/19/15 10:49:11 PM,-0.325,,,,
25,02/19/15 10:50:11 PM,-0.325,,,,
26,02/19/15 10:51:11 PM,-0.437,,,,
27,02/19/15 10:52:11 PM,-0.437,,,,
28,02/19/15 10:53:11 PM,-0.437,,,,
29,02/19/15 10:54:11 PM,-0.437,,,,
30,02/19/15 10:55:11 PM,-0.437,,,,
31,02/19/15 10:56:11 PM,-0.437,,,,
32,02/19/15 10:57:11 PM,-0.437,,,,
33,02/19/15 10:58:11 PM,-0.437,,,,
34,02/19/15 10:59:11 PM,-0.437,,,,
35,02/19/15 11:00:11 PM,-0.437,,,,
36,02/19/15 11:01:11 PM,-0.437,,,,
37,02/19/15 11:02:11 PM,-0.437,,,,
38,02/19/15 11:03:11 PM,-0.437,,,,
39,02/19/15 11:04:11 PM,-0.437,,,,
40,02/19/15 11:05:11 PM,-0.437,,,,
41,02/19/15 11:06:11 PM,-0.437,,,,
42,02/19/15 11:07:11 PM,-0.437,,,,
43,02/19/15 11:08:11 PM,-0.437,,,,
44,02/19/15 11:09:11 PM,-0.437,,,,
45,02/19/15 11:10:11 PM,-0.437,,,,
46,02/19/15 11:11:11 PM,-0.437,,,,
47,02/19/15 11:12:11 PM,-0.437,,,,
48,02/19/15 11:13:11 PM,-0.549,,,,
49,02/19/15 11:14:11 PM,-0.549,,,,
50,02/19/15 11:15:11 PM,-0.549,,,,
51,02/19/15 11:16:11 PM,-0.549,,,,
52,02/19/15 11:17:11 PM,-0.549,,,,
53,02/19/15 11:18:11 PM,-0.549,,,,
54,02/19/15 11:19:11 PM,-0.549,,,,
55,02/19/15 11:20:11 PM,-0.549,,,,
56,02/19/15 11:21:11 PM,-0.549,,,,
57,02/19/15 11:22:11 PM,-0.549,,,,
58,02/19/15 11:23:11 PM,-0.549,,,,
59,02/19/15 11:24:11 PM,-0.549,,,,
60,02/19/15 11:25:11 PM,-0.549,,,,
61,02/19/15 11:26:11 PM,-0.549,,,,
62,02/19/15 11:27:11 PM,-0.549,,,,
63,02/19/15 11:28:11 PM,-0.549,,,,
64,02/19/15 11:29:11 PM,-0.549,,,,
65,02/19/15 11:30:11 PM,-0.549,,,,
66,02/19/15 11:31:11 PM,-0.549,,,,
67,02/19/15 11:32:11 PM,-0.549,,,,
68,02/19/15 11:33:11 PM,-0.549,,,,
69,02/19/15 11:34:11 PM,-0.549,,,,
70,02/19/15 11:35:11 PM,-0.549,,,,
71,02/19/15 11:36:11 PM,-0.549,,,,
72,02/19/15 11:37:11 PM,-0.549,,,,
73,02/19/15 11:38:11 PM,-0.662,,,,
74,02/19/15 11:39:11 PM,-0.662,,,,
75,02/19/15 11:40:11 PM,-0.662,,,,
76,02/19/15 11:41:11 PM,-0.662,,,,
