"Plot Title: BS-T1"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10451243, SEN S/N: 10451243)","Coupler Attached (LGR S/N: 10451243, SEN S/N: 10451243)","Stopped (LGR S/N: 10451243, SEN S/N: 10451243)","End Of File (LGR S/N: 10451243, SEN S/N: 10451243)"
1,01/21/15 11:09:02 PM,6.268,,,
2,01/21/15 11:10:02 PM,6.166,,,
3,01/21/15 11:11:02 PM,6.166,,,
4,01/21/15 11:12:02 PM,6.268,,,
5,01/21/15 11:13:02 PM,6.268,,,
6,01/21/15 11:14:02 PM,6.268,,,
7,01/21/15 11:15:02 PM,6.268,,,
8,01/21/15 11:16:02 PM,6.268,,,
9,01/21/15 11:17:02 PM,6.268,,,
10,01/21/15 11:18:02 PM,6.268,,,
11,01/21/15 11:19:02 PM,6.268,,,
12,01/21/15 11:20:02 PM,6.268,,,
13,01/21/15 11:21:02 PM,6.268,,,
14,01/21/15 11:22:02 PM,6.370,,,
15,01/21/15 11:23:02 PM,6.370,,,
16,01/21/15 11:24:02 PM,6.268,,,
17,01/21/15 11:25:02 PM,6.268,,,
18,01/21/15 11:26:02 PM,6.370,,,
19,01/21/15 11:27:02 PM,6.268,,,
20,01/21/15 11:28:02 PM,6.268,,,
21,01/21/15 11:29:02 PM,6.268,,,
22,01/21/15 11:30:02 PM,6.370,,,
23,01/21/15 11:31:02 PM,6.370,,,
24,01/21/15 11:32:02 PM,6.370,,,
25,01/21/15 11:33:02 PM,6.370,,,
26,01/21/15 11:34:02 PM,6.370,,,
27,01/21/15 11:35:02 PM,6.268,,,
28,01/21/15 11:36:02 PM,6.268,,,
29,01/21/15 11:37:02 PM,6.268,,,
30,01/21/15 11:38:02 PM,6.268,,,
31,01/21/15 11:39:02 PM,6.268,,,
32,01/21/15 11:40:02 PM,6.268,,,
33,01/21/15 11:41:02 PM,6.370,,,
34,01/21/15 11:42:02 PM,6.268,,,
35,01/21/15 11:43:02 PM,6.268,,,
36,01/21/15 11:44:02 PM,6.268,,,
37,01/21/15 11:45:02 PM,6.268,,,
38,01/21/15 11:46:02 PM,6.268,,,
39,01/21/15 11:47:02 PM,6.268,,,
40,01/21/15 11:48:02 PM,6.268,,,
41,01/21/15 11:49:02 PM,6.268,,,
42,01/21/15 11:50:02 PM,6.268,,,
43,01/21/15 11:51:02 PM,6.268,,,
44,01/21/15 11:52:02 PM,6.268,,,
45,01/21/15 11:53:02 PM,6.268,,,
46,01/21/15 11:54:02 PM,6.268,,,
47,01/21/15 11:55:02 PM,6.268,,,
48,01/21/15 11:56:02 PM,6.268,,,
49,01/21/15 11:57:02 PM,6.268,,,
50,01/21/15 11:58:02 PM,6.268,,,
51,01/21/15 11:59:02 PM,6.268,,,
52,01/22/15 12:00:02 AM,6.268,,,
53,01/22/15 12:01:02 AM,6.268,,,
54,01/22/15 12:02:02 AM,6.268,,,
55,01/22/15 12:03:02 AM,6.268,,,
56,01/22/15 12:04:02 AM,6.268,,,
57,01/22/15 12:05:02 AM,6.268,,,
58,01/22/15 12:06:02 AM,6.268,,,
59,01/22/15 12:07:02 AM,6.268,,,
60,01/22/15 12:08:02 AM,6.268,,,
61,01/22/15 12:09:02 AM,6.268,,,
62,01/22/15 12:10:02 AM,6.268,,,
63,01/22/15 12:11:02 AM,6.268,,,
64,01/22/15 12:12:02 AM,6.268,,,
65,01/22/15 12:13:02 AM,6.268,,,
66,01/22/15 12:14:02 AM,6.268,,,
67,01/22/15 12:15:02 AM,6.268,,,
68,01/22/15 12:16:02 AM,6.268,,,
69,01/22/15 12:17:02 AM,6.268,,,
70,01/22/15 12:18:02 AM,6.268,,,
71,01/22/15 12:19:02 AM,6.268,,,
72,01/22/15 12:20:02 AM,6.268,,,
73,01/22/15 12:21:02 AM,6.268,,,
74,01/22/15 12:22:02 AM,6.268,,,
75,01/22/15 12:23:02 AM,6.268,,,
76,01/22/15 12:24:02 AM,6.268,,,
77,01/22/15 12:25:02 AM,6.268,,,
78,01/22/15 12:26:02 AM,6.268,,,
79,01/22/15 12:27:02 AM,6.268,,,
80,01/22/15 12:28:02 AM,6.268,,,
81,01/22/15 12:29:02 AM,6.268,,,
82,01/22/15 12:30:02 AM,6.268,,,
83,01/22/15 12:31:02 AM,6.268,,,
84,01/22/15 12:32:02 AM,6.268,,,
85,01/22/15 12:33:02 AM,6.166,,,
86,01/22/15 12:34:02 AM,6.166,,,
87,01/22/15 12:35:02 AM,6.268,,,
88,01/22/15 12:36:02 AM,6.268,,,
89,01/22/15 12:37:02 AM,6.268,,,
